edge,presence_count,top20_count,group,n_instances,presence_frequency,overall_top20_frequency,conditional_top20_frequency
lh_bankssts -- lh_caudalanteriorcingulate,92,2.0,SZ,150,0.6133333333333333,0.013333333333333334,0.021739130434782608
lh_bankssts -- lh_caudalmiddlefrontal,80,6.0,SZ,150,0.5333333333333333,0.04,0.075
lh_bankssts -- lh_entorhinal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_bankssts -- lh_frontalpole,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_bankssts -- lh_fusiform,3,0.0,SZ,150,0.02,0.0,0.0
lh_bankssts -- lh_inferiorparietal,5,1.0,SZ,150,0.03333333333333333,0.006666666666666667,0.2
lh_bankssts -- lh_inferiortemporal,56,3.0,SZ,150,0.37333333333333335,0.02,0.05357142857142857
lh_bankssts -- lh_insula,55,4.0,SZ,150,0.36666666666666664,0.02666666666666667,0.07272727272727272
lh_bankssts -- lh_isthmuscingulate,71,3.0,SZ,150,0.47333333333333333,0.02,0.04225352112676056
lh_bankssts -- lh_lateraloccipital,9,1.0,SZ,150,0.06,0.006666666666666667,0.1111111111111111
lh_bankssts -- lh_lateralorbitofrontal,18,3.0,SZ,150,0.12,0.02,0.16666666666666666
lh_bankssts -- lh_medialorbitofrontal,5,1.0,SZ,150,0.03333333333333333,0.006666666666666667,0.2
lh_bankssts -- lh_middletemporal,59,5.0,SZ,150,0.3933333333333333,0.03333333333333333,0.0847457627118644
lh_bankssts -- lh_paracentral,70,6.0,SZ,150,0.4666666666666667,0.04,0.08571428571428572
lh_bankssts -- lh_parahippocampal,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_bankssts -- lh_parsopercularis,18,1.0,SZ,150,0.12,0.006666666666666667,0.05555555555555555
lh_bankssts -- lh_parstriangularis,46,4.0,SZ,150,0.30666666666666664,0.02666666666666667,0.08695652173913043
lh_bankssts -- lh_pericalcarine,11,1.0,SZ,150,0.07333333333333333,0.006666666666666667,0.09090909090909091
lh_bankssts -- lh_postcentral,4,1.0,SZ,150,0.02666666666666667,0.006666666666666667,0.25
lh_bankssts -- lh_posteriorcingulate,113,5.0,SZ,150,0.7533333333333333,0.03333333333333333,0.04424778761061947
lh_bankssts -- lh_precentral,11,0.0,SZ,150,0.07333333333333333,0.0,0.0
lh_bankssts -- lh_rostralanteriorcingulate,12,0.0,SZ,150,0.08,0.0,0.0
lh_bankssts -- lh_rostralmiddlefrontal,10,2.0,SZ,150,0.06666666666666667,0.013333333333333334,0.2
lh_bankssts -- lh_superiorfrontal,29,1.0,SZ,150,0.19333333333333333,0.006666666666666667,0.034482758620689655
lh_bankssts -- lh_superiorparietal,6,0.0,SZ,150,0.04,0.0,0.0
lh_bankssts -- lh_superiortemporal,57,3.0,SZ,150,0.38,0.02,0.05263157894736842
lh_bankssts -- lh_supramarginal,36,1.0,SZ,150,0.24,0.006666666666666667,0.027777777777777776
lh_bankssts -- lh_transversetemporal,8,2.0,SZ,150,0.05333333333333334,0.013333333333333334,0.25
lh_bankssts -- rh_bankssts,128,6.0,SZ,150,0.8533333333333334,0.04,0.046875
lh_bankssts -- rh_caudalanteriorcingulate,99,2.0,SZ,150,0.66,0.013333333333333334,0.020202020202020204
lh_bankssts -- rh_caudalmiddlefrontal,51,4.0,SZ,150,0.34,0.02666666666666667,0.0784313725490196
lh_bankssts -- rh_cuneus,3,0.0,SZ,150,0.02,0.0,0.0
lh_bankssts -- rh_entorhinal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_bankssts -- rh_frontalpole,4,0.0,SZ,150,0.02666666666666667,0.0,0.0
lh_bankssts -- rh_fusiform,4,1.0,SZ,150,0.02666666666666667,0.006666666666666667,0.25
lh_bankssts -- rh_inferiorparietal,15,0.0,SZ,150,0.1,0.0,0.0
lh_bankssts -- rh_inferiortemporal,49,0.0,SZ,150,0.32666666666666666,0.0,0.0
lh_bankssts -- rh_insula,45,3.0,SZ,150,0.3,0.02,0.06666666666666667
lh_bankssts -- rh_isthmuscingulate,75,3.0,SZ,150,0.5,0.02,0.04
lh_bankssts -- rh_lateraloccipital,9,0.0,SZ,150,0.06,0.0,0.0
lh_bankssts -- rh_lateralorbitofrontal,24,1.0,SZ,150,0.16,0.006666666666666667,0.041666666666666664
lh_bankssts -- rh_lingual,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_bankssts -- rh_medialorbitofrontal,7,0.0,SZ,150,0.04666666666666667,0.0,0.0
lh_bankssts -- rh_middletemporal,68,3.0,SZ,150,0.4533333333333333,0.02,0.04411764705882353
lh_bankssts -- rh_paracentral,79,4.0,SZ,150,0.5266666666666666,0.02666666666666667,0.05063291139240506
lh_bankssts -- rh_parahippocampal,21,4.0,SZ,150,0.14,0.02666666666666667,0.19047619047619047
lh_bankssts -- rh_parsopercularis,41,6.0,SZ,150,0.2733333333333333,0.04,0.14634146341463414
lh_bankssts -- rh_parstriangularis,55,3.0,SZ,150,0.36666666666666664,0.02,0.05454545454545454
lh_bankssts -- rh_pericalcarine,8,1.0,SZ,150,0.05333333333333334,0.006666666666666667,0.125
lh_bankssts -- rh_postcentral,8,0.0,SZ,150,0.05333333333333334,0.0,0.0
lh_bankssts -- rh_posteriorcingulate,115,7.0,SZ,150,0.7666666666666667,0.04666666666666667,0.06086956521739131
lh_bankssts -- rh_precentral,7,0.0,SZ,150,0.04666666666666667,0.0,0.0
lh_bankssts -- rh_rostralanteriorcingulate,13,2.0,SZ,150,0.08666666666666667,0.013333333333333334,0.15384615384615385
lh_bankssts -- rh_rostralmiddlefrontal,14,2.0,SZ,150,0.09333333333333334,0.013333333333333334,0.14285714285714285
lh_bankssts -- rh_superiorfrontal,33,1.0,SZ,150,0.22,0.006666666666666667,0.030303030303030304
lh_bankssts -- rh_superiorparietal,5,0.0,SZ,150,0.03333333333333333,0.0,0.0
lh_bankssts -- rh_superiortemporal,58,1.0,SZ,150,0.38666666666666666,0.006666666666666667,0.017241379310344827
lh_bankssts -- rh_supramarginal,18,0.0,SZ,150,0.12,0.0,0.0
lh_bankssts -- rh_transversetemporal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_caudalmiddlefrontal,76,4.0,SZ,150,0.5066666666666667,0.02666666666666667,0.05263157894736842
lh_caudalanteriorcingulate -- lh_entorhinal,1,0.0,SZ,150,0.006666666666666667,0.0,0.0
lh_caudalanteriorcingulate -- lh_frontalpole,6,0.0,SZ,150,0.04,0.0,0.0
lh_caudalanteriorcingulate -- lh_fusiform,2,0.0,SZ,150,0.013333333333333334,0.0,0.0
