group,edge,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank,mean_original_weight
ALL_SZ,lh_bankssts -- lh_caudalanteriorcingulate,2,150,0.013333333333333334,0.003046431693058887,195.09782608695653,0.9749009965554528
ALL_SZ,lh_bankssts -- lh_caudalmiddlefrontal,6,150,0.04,0.0037070133658744543,183.95,0.9677295215427876
ALL_SZ,lh_bankssts -- lh_entorhinal,0,150,0.0,0.0023999849510643635,40.0,0.8763403296470642
ALL_SZ,lh_bankssts -- lh_frontalpole,0,150,0.0,0.0013977947991779887,381.0,-0.9137544631958008
ALL_SZ,lh_bankssts -- lh_fusiform,0,150,0.0,0.0014557755073163186,376.0,-0.2602774103482564
ALL_SZ,lh_bankssts -- lh_inferiorparietal,1,150,0.006666666666666667,0.0029403643528762213,138.6,-0.9301555633544922
ALL_SZ,lh_bankssts -- lh_inferiortemporal,3,150,0.02,0.0031105860802036014,198.875,-0.9635117543595177
ALL_SZ,lh_bankssts -- lh_insula,4,150,0.02666666666666667,0.002755292954522324,198.5090909090909,0.9467224164442583
ALL_SZ,lh_bankssts -- lh_isthmuscingulate,3,150,0.02,0.0030491608197778944,217.6056338028169,0.9660453032439863
ALL_SZ,lh_bankssts -- lh_lateraloccipital,1,150,0.006666666666666667,0.0031054635172975964,193.11111111111111,-0.9325375358263651
ALL_SZ,lh_bankssts -- lh_lateralorbitofrontal,3,150,0.02,0.003217147043668319,194.0,0.8564034236801995
ALL_SZ,lh_bankssts -- lh_medialorbitofrontal,1,150,0.006666666666666667,0.0027933177983216918,140.8,-0.6143048286437989
ALL_SZ,lh_bankssts -- lh_middletemporal,5,150,0.03333333333333333,0.002926453911198485,227.8135593220339,-0.9556708729873269
ALL_SZ,lh_bankssts -- lh_paracentral,6,150,0.04,0.0032416574341250387,169.55714285714285,0.9622627939496722
ALL_SZ,lh_bankssts -- lh_parahippocampal,0,150,0.0,0.001623424780111361,238.4,0.8906532764434815
ALL_SZ,lh_bankssts -- lh_parsopercularis,1,150,0.006666666666666667,0.0034377420061380056,200.11111111111111,0.9673079980744256
ALL_SZ,lh_bankssts -- lh_parstriangularis,4,150,0.02666666666666667,0.003055730759081278,190.54347826086956,0.9629806474499081
ALL_SZ,lh_bankssts -- lh_pericalcarine,1,150,0.006666666666666667,0.0023025104733979274,416.6363636363636,0.8916273713111877
ALL_SZ,lh_bankssts -- lh_postcentral,1,150,0.006666666666666667,0.003238267503717801,144.0,-0.9603142738342286
ALL_SZ,lh_bankssts -- lh_posteriorcingulate,5,150,0.03333333333333333,0.003140524269634754,177.87610619469027,0.9759161725508428
ALL_SZ,lh_bankssts -- lh_precentral,0,150,0.0,0.0024993244289877726,240.0,-0.9130727865479209
ALL_SZ,lh_bankssts -- lh_rostralanteriorcingulate,0,150,0.0,0.0022170332377804323,344.4166666666667,0.9169682860374451
ALL_SZ,lh_bankssts -- lh_rostralmiddlefrontal,2,150,0.013333333333333334,0.004570995172533119,106.0,-0.9426180899143219
ALL_SZ,lh_bankssts -- lh_superiorfrontal,1,150,0.006666666666666667,0.002037726611351667,270.86206896551727,-0.9231276265506086
ALL_SZ,lh_bankssts -- lh_superiorparietal,0,150,0.0,0.0025124190983136043,220.83333333333334,-0.9140170415242513
ALL_SZ,lh_bankssts -- lh_superiortemporal,3,150,0.02,0.0027701352078098097,212.17543859649123,-0.9523986253822059
ALL_SZ,lh_bankssts -- lh_supramarginal,1,150,0.006666666666666667,0.0030017246155793187,202.19444444444446,-0.9562448114156723
ALL_SZ,lh_bankssts -- lh_transversetemporal,2,150,0.013333333333333334,0.004289964257894552,234.75,0.9178820997476578
ALL_SZ,lh_bankssts -- rh_bankssts,6,150,0.04,0.003444391755300773,171.59375,0.980175984557718
ALL_SZ,lh_bankssts -- rh_caudalanteriorcingulate,2,150,0.013333333333333334,0.0029041132870402547,186.35353535353536,0.966178890430566
ALL_SZ,lh_bankssts -- rh_caudalmiddlefrontal,4,150,0.02666666666666667,0.0032723711156998053,180.66666666666666,0.9674376225938984
ALL_SZ,lh_bankssts -- rh_cuneus,0,150,0.0,0.0035873270717585604,155.33333333333334,-0.9528186917304992
ALL_SZ,lh_bankssts -- rh_entorhinal,0,150,0.0,0.002143030267821101,237.0,0.8841296434402466
ALL_SZ,lh_bankssts -- rh_frontalpole,0,150,0.0,0.001472004677613907,270.25,-0.8634420186281204
ALL_SZ,lh_bankssts -- rh_fusiform,1,150,0.006666666666666667,0.002434082492259725,218.0,0.931843027472496
ALL_SZ,lh_bankssts -- rh_inferiorparietal,0,150,0.0,0.0027580922888452864,267.3333333333333,-0.9445814927419026
ALL_SZ,lh_bankssts -- rh_inferiortemporal,0,150,0.0,0.002731035211367724,235.48979591836735,-0.9532409845566263
ALL_SZ,lh_bankssts -- rh_insula,3,150,0.02,0.0033799132196856677,239.66666666666666,0.9486455837885539
ALL_SZ,lh_bankssts -- rh_isthmuscingulate,3,150,0.02,0.003021456437180434,211.37333333333333,0.9623602016766866
ALL_SZ,lh_bankssts -- rh_lateraloccipital,0,150,0.0,0.0030344948345454505,188.66666666666666,-0.9362492826249864
ALL_SZ,lh_bankssts -- rh_lateralorbitofrontal,1,150,0.006666666666666667,0.003354624640872694,222.125,0.9552028700709343
ALL_SZ,lh_bankssts -- rh_lingual,0,150,0.0,0.0014038568951545247,368.0,-0.8497053384780884
ALL_SZ,lh_bankssts -- rh_medialorbitofrontal,0,150,0.0,0.0014434377090911667,303.42857142857144,-0.9004873888833183
ALL_SZ,lh_bankssts -- rh_middletemporal,3,150,0.02,0.0030258910210698266,226.75,-0.9590686647331014
ALL_SZ,lh_bankssts -- rh_paracentral,4,150,0.02666666666666667,0.0032176721123471307,174.63291139240508,0.9682326030127609
ALL_SZ,lh_bankssts -- rh_parahippocampal,4,150,0.02666666666666667,0.0038332477824225045,179.8095238095238,0.9545148724601382
ALL_SZ,lh_bankssts -- rh_parsopercularis,6,150,0.04,0.004589283925035345,141.7560975609756,0.9548460884792048
