edge,sz_selection_frequency,sz_mean_importance_share,ctrl_selection_frequency,ctrl_mean_importance_share,selection_frequency_difference,importance_share_difference
lh_pericalcarine -- rh_pericalcarine,0.19333333333333333,0.004726236875035768,0.09866666666666667,0.004054270594045477,0.09466666666666666,0.0006719662809902905
rh_precentral -- rh_rostralanteriorcingulate,0.06,0.003837008371898872,0.0026666666666666666,0.003130895423583348,0.05733333333333333,0.0007061129483155243
rh_cuneus -- rh_precuneus,0.07333333333333333,0.004030983534784254,0.016,0.0031049989719052103,0.05733333333333333,0.0009259845628790441
lh_postcentral -- rh_superiorparietal,0.08666666666666667,0.0035930030525433538,0.032,0.0033497964599512498,0.05466666666666667,0.000243206592592104
lh_temporalpole -- rh_lingual,0.05333333333333334,0.00410837415053663,0.0026666666666666666,0.002141383567440098,0.05066666666666667,0.0019669905830965316
lh_temporalpole -- rh_temporalpole,0.14,0.004183391682377132,0.09333333333333334,0.0040396776750031725,0.046666666666666676,0.0001437140073739596
rh_bankssts -- rh_parsopercularis,0.05333333333333334,0.004119851465037959,0.008,0.003124998108673321,0.04533333333333334,0.0009948533563646383
lh_frontalpole -- rh_pericalcarine,0.09333333333333334,0.0038235468710387972,0.048,0.0033955504359951,0.04533333333333334,0.0004279964350436972
rh_lingual -- rh_precuneus,0.08666666666666667,0.00430025670624195,0.042666666666666665,0.003746754748580427,0.044000000000000004,0.0005535019576615231
lh_caudalanteriorcingulate -- rh_parsopercularis,0.04666666666666667,0.003919268271886607,0.005333333333333333,0.0025801766370879154,0.04133333333333333,0.0013390916347986916
lh_cuneus -- rh_frontalpole,0.04666666666666667,0.004439780231801785,0.008,0.002826241935724525,0.03866666666666667,0.0016135382960772602
lh_rostralmiddlefrontal -- rh_postcentral,0.06,0.003811249107200967,0.021333333333333333,0.003088890367566522,0.03866666666666667,0.000722358739634445
lh_pericalcarine -- rh_frontalpole,0.10666666666666667,0.004175752866372993,0.06933333333333333,0.0036678707472695134,0.03733333333333334,0.0005078821191034795
lh_lateraloccipital -- rh_superiorparietal,0.08,0.003551678796827426,0.042666666666666665,0.00350333744696751,0.037333333333333336,4.8341349859916134e-05
lh_posteriorcingulate -- rh_parsopercularis,0.04,0.004318255833955589,0.0026666666666666666,0.0027016462346926497,0.037333333333333336,0.001616609599262939
lh_bankssts -- rh_parsopercularis,0.04,0.004589283925035345,0.0026666666666666666,0.0023178380084737217,0.037333333333333336,0.002271445916561623
rh_insula -- rh_parsopercularis,0.06666666666666667,0.0037586917668780435,0.029333333333333333,0.0032397987698857744,0.03733333333333333,0.0005188929969922691
rh_lingual -- rh_temporalpole,0.04666666666666667,0.0035347151025556154,0.010666666666666666,0.0023825905305672555,0.036000000000000004,0.00115212457198836
lh_parsopercularis -- lh_rostralmiddlefrontal,0.04666666666666667,0.0034344468183917297,0.010666666666666666,0.002999720952050823,0.036000000000000004,0.0004347258663409065
rh_caudalmiddlefrontal -- rh_superiortemporal,0.04666666666666667,0.0034204385121916325,0.010666666666666666,0.002791719407226748,0.036000000000000004,0.0006287191049648842
lh_superiorfrontal -- rh_parsopercularis,0.04666666666666667,0.003420132843967583,0.010666666666666666,0.003088064246903687,0.036000000000000004,0.0003320685970638962
lh_lateralorbitofrontal -- rh_paracentral,0.04,0.004525844104736243,0.005333333333333333,0.0034042354899470246,0.034666666666666665,0.0011216086147892187
rh_bankssts -- rh_middletemporal,0.05333333333333334,0.0035336421192387144,0.018666666666666668,0.002956701318700524,0.034666666666666665,0.0005769408005381906
lh_paracentral -- rh_parsopercularis,0.04,0.004099093196977303,0.005333333333333333,0.002355957738903801,0.034666666666666665,0.0017431354580735021
lh_middletemporal -- rh_rostralmiddlefrontal,0.03333333333333333,0.0053366656021538094,0.0,0.0014996095623601028,0.03333333333333333,0.0038370560397937067
lh_parsopercularis -- lh_superiortemporal,0.03333333333333333,0.004210834214213455,0.0,0.002834237125769079,0.03333333333333333,0.0013765970884443762
rh_bankssts -- rh_isthmuscingulate,0.04666666666666667,0.0033459735025456487,0.013333333333333334,0.0030232439209613277,0.03333333333333333,0.00032272958158432096
lh_rostralanteriorcingulate -- rh_parsopercularis,0.04666666666666667,0.003778086351275491,0.013333333333333334,0.003134277769532006,0.03333333333333333,0.000643808581743485
lh_middletemporal -- rh_inferiorparietal,0.03333333333333333,0.006262844496659896,0.0,0.002227504946956604,0.03333333333333333,0.004035339549703292
lh_parsopercularis -- rh_inferiorparietal,0.04,0.0038375351274265597,0.008,0.003120055926843359,0.032,0.0007174792005832007
lh_isthmuscingulate -- rh_paracentral,0.05333333333333334,0.003585018897356307,0.021333333333333333,0.003097490494272977,0.032,0.00048752840308332983
lh_parsopercularis -- lh_supramarginal,0.04666666666666667,0.003913175099515901,0.016,0.0029403150581682313,0.03066666666666667,0.00097286004134767
lh_cuneus -- lh_pericalcarine,0.03333333333333333,0.004402460276386417,0.0026666666666666666,0.0020240539519897336,0.030666666666666665,0.002378406324396683
lh_cuneus -- rh_lingual,0.06,0.004618107102497178,0.029333333333333333,0.0035966929472686653,0.030666666666666665,0.0010214141552285128
