group,k,n_subjects,top_mean_drop,random_mean_drop,mean_advantage,ci_low,ci_high,positive_advantage_fraction,top_flip_rate,random_flip_rate
ALL,1,175,0.037730560297856014,0.00040050904447922397,0.037330051253376795,0.03070368269235716,0.04452931601374355,0.9314285714285714,0.09142857142857143,0.010933333333333333
ALL,5,175,0.11349882533995521,0.001976552363831018,0.11152227297612423,0.0971925833642559,0.12652699436033654,0.9371428571428572,0.24571428571428566,0.030800000000000004
ALL,10,175,0.1252998364322065,0.004724764670433832,0.12057507176177265,0.10164106197152498,0.13992361328456493,0.8457142857142858,0.3009523809523809,0.05302857142857143
ALL,15,175,0.10438522723858201,0.007996369031694763,0.09638885820688724,0.07359167627301372,0.11980254344988474,0.6742857142857143,0.2914285714285714,0.0742857142857143
ALL,20,175,0.09018853182017451,0.011708762438324768,0.07847976938184971,0.053430137066855087,0.10427236544617216,0.5485714285714286,0.2914285714285714,0.09436190476190477
SZ,1,50,0.04832658882408092,0.0013382989830492686,0.04698828984103167,0.03131840145725912,0.06495081311393877,0.94,0.12666666666666665,0.016133333333333333
SZ,5,50,0.16010660921689124,0.006577112440842514,0.1535294967760487,0.12488979641336057,0.18551611936825207,0.98,0.38666666666666666,0.04466666666666667
SZ,10,50,0.1954404384844626,0.014408960834153306,0.1810314776503093,0.1424733771179725,0.21988216922384785,0.88,0.42666666666666664,0.07473333333333333
SZ,15,50,0.18751336902535207,0.0220133548775455,0.16550001414780663,0.12034371067328203,0.2109810770244138,0.8,0.4133333333333333,0.10673333333333333
SZ,20,50,0.1858383585093543,0.03142554756416939,0.1544128109451849,0.10249833147247787,0.2066535291633953,0.72,0.42666666666666664,0.13626666666666665
TP_SZ,1,34,0.06477697924071667,0.004131985131432028,0.060644994109284645,0.032903406955849604,0.09661536959576983,0.9705882352941176,0.1715686274509804,0.020343137254901965
TP_SZ,5,34,0.24693036236453292,0.021744017565951627,0.22518634479858127,0.18248941968730192,0.2693240217878026,1.0,0.5833333333333333,0.08191176470588235
TP_SZ,10,34,0.34721290345723727,0.04559006714170762,0.30162283631552955,0.25902532727379973,0.3458157300257817,1.0,0.696078431372549,0.14642156862745098
TP_SZ,15,34,0.4104273122205746,0.07055975844754891,0.3398675537730257,0.30316257085706855,0.3781902574720774,1.0,0.7598039215686274,0.2162745098039216
TP_SZ,20,34,0.4492398647627994,0.09819922217843578,0.3510406425843636,0.31775920319669504,0.386138692508963,1.0,0.8088235294117647,0.2791666666666667
