group,repeat_a,repeat_b,jaccard_topk,spearman_roi_rank
ALL_CTRL,0,1,0.6666666666666666,0.6526319807611558
ALL_CTRL,0,2,0.5384615384615384,0.6276672901477267
ALL_CTRL,1,2,0.5384615384615384,0.6604573042714814
ALL_SZ,0,1,0.42857142857142855,0.5891514295530021
ALL_SZ,0,2,0.5384615384615384,0.7338244837195098
ALL_SZ,1,2,0.5384615384615384,0.7217620338206664
TN,0,1,0.6666666666666666,0.631942588846051
TN,0,2,0.5384615384615384,0.6865671641791044
TN,1,2,0.5384615384615384,0.5969385807535212
TP,0,1,0.42857142857142855,0.5544527999389243
TP,0,2,0.42857142857142855,0.6818719700729091
TP,1,2,0.6666666666666666,0.7360766499980913
