group,repeat,roi,topk_count,n_instances,selection_frequency,mean_importance_share,mean_rank
ALL_SZ,0,lh_bankssts,10,50,0.2,0.015796343543283284,32.22
ALL_SZ,0,lh_caudalanteriorcingulate,6,50,0.12,0.013380029783341124,40.5
ALL_SZ,0,lh_caudalmiddlefrontal,6,50,0.12,0.01364696179813935,36.24
ALL_SZ,0,lh_cuneus,11,50,0.22,0.016279595715865194,31.9
ALL_SZ,0,lh_entorhinal,4,50,0.08,0.013891659065135615,35.82
ALL_SZ,0,lh_frontalpole,5,50,0.1,0.013113144843819233,36.9
ALL_SZ,0,lh_fusiform,19,50,0.38,0.018668950324779207,22.6
ALL_SZ,0,lh_inferiorparietal,7,50,0.14,0.014235650936197768,33.46
ALL_SZ,0,lh_inferiortemporal,6,50,0.12,0.014248568155929342,37.62
ALL_SZ,0,lh_insula,5,50,0.1,0.01428786345452336,39.12
ALL_SZ,0,lh_isthmuscingulate,4,50,0.08,0.012205589544742386,39.76
ALL_SZ,0,lh_lateraloccipital,7,50,0.14,0.013435071654322471,36.32
ALL_SZ,0,lh_lateralorbitofrontal,19,50,0.38,0.018222611339990463,26.64
ALL_SZ,0,lh_lingual,5,50,0.1,0.013841831193144114,35.52
ALL_SZ,0,lh_medialorbitofrontal,10,50,0.2,0.01571000272175474,34.34
ALL_SZ,0,lh_middletemporal,9,50,0.18,0.015499337839712381,32.04
ALL_SZ,0,lh_paracentral,6,50,0.12,0.014607447983323687,33.38
ALL_SZ,0,lh_parahippocampal,4,50,0.08,0.013732919964935399,40.04
ALL_SZ,0,lh_parsopercularis,11,50,0.22,0.01673106109117761,29.16
ALL_SZ,0,lh_parsorbitalis,4,50,0.08,0.013275286033323959,40.62
ALL_SZ,0,lh_parstriangularis,5,50,0.1,0.01364635830590719,39.28
ALL_SZ,0,lh_pericalcarine,7,50,0.14,0.01576966051096777,35.22
ALL_SZ,0,lh_postcentral,6,50,0.12,0.014238403949393517,35.54
ALL_SZ,0,lh_posteriorcingulate,4,50,0.08,0.013229453034419305,41.54
ALL_SZ,0,lh_precentral,4,50,0.08,0.013873751686784938,34.78
ALL_SZ,0,lh_precuneus,6,50,0.12,0.015652992075148694,30.24
ALL_SZ,0,lh_rostralanteriorcingulate,8,50,0.16,0.013897010858948242,33.26
