roi,sz_selection_frequency,sz_mean_importance_share,ctrl_selection_frequency,ctrl_mean_importance_share,selection_frequency_difference,importance_share_difference
lh_cuneus,0.28,0.0168146504463352,0.17866666666666667,0.015331945598072995,0.10133333333333336,0.0014827048482622032
lh_middletemporal,0.2,0.01574532167577997,0.112,0.01350568654558349,0.08800000000000001,0.0022396351301964806
rh_superiorparietal,0.16666666666666666,0.015594345958234142,0.09066666666666667,0.01373291870800719,0.07599999999999998,0.0018614272502269526
rh_transversetemporal,0.35333333333333333,0.019259497893328745,0.288,0.017482200756853538,0.06533333333333335,0.0017772971364752067
lh_rostralmiddlefrontal,0.14,0.014947198973873631,0.07733333333333334,0.01350099515239504,0.06266666666666668,0.0014462038214785918
rh_parsopercularis,0.2,0.01589303206605018,0.13866666666666666,0.013968489617166301,0.06133333333333335,0.0019245424488838793
lh_bankssts,0.18,0.015938252817958326,0.12,0.014433632695491805,0.06,0.0015046201224665212
lh_lateralorbitofrontal,0.28,0.016838917562009795,0.22133333333333333,0.016069934379812117,0.0586666666666667,0.0007689831821976779
rh_pericalcarine,0.15333333333333332,0.014924523293023007,0.096,0.014106590411028103,0.05733333333333332,0.0008179328819949046
lh_temporalpole,0.19333333333333333,0.01440044433499654,0.136,0.014659228437118527,0.05733333333333332,-0.0002587841021219877
lh_pericalcarine,0.14666666666666667,0.01583592884026516,0.09066666666666667,0.014004029621507515,0.055999999999999994,0.0018318992187576436
rh_superiorfrontal,0.12666666666666668,0.014327130066690863,0.08,0.01354830236963902,0.046666666666666676,0.0007788276970518426
rh_rostralanteriorcingulate,0.20666666666666667,0.015503928128934306,0.16,0.014536348686212463,0.04666666666666666,0.0009675794427218432
rh_paracentral,0.14666666666666667,0.014372850347207278,0.10666666666666667,0.0141064742669657,0.039999999999999994,0.00026637608024157773
lh_postcentral,0.1,0.013449277632845048,0.06933333333333333,0.013187096332930734,0.030666666666666675,0.0002621812999143141
rh_precentral,0.11333333333333333,0.014227724541802851,0.08266666666666667,0.013933637602529001,0.03066666666666666,0.00029408693927385036
rh_supramarginal,0.21333333333333335,0.016051718724607835,0.184,0.01502677412563563,0.02933333333333335,0.001024944598972205
lh_superiortemporal,0.14666666666666667,0.013984503947643718,0.11733333333333333,0.013836362864652356,0.029333333333333336,0.00014814108299136125
rh_entorhinal,0.16666666666666666,0.01523882487260475,0.13866666666666666,0.015218339348644503,0.027999999999999997,2.048552396024736e-05
rh_inferiortemporal,0.17333333333333334,0.014525520340363194,0.14666666666666667,0.014805024396124215,0.026666666666666672,-0.00027950405576102066
lh_lateraloccipital,0.14,0.014210202043613836,0.11733333333333333,0.01430180397205674,0.022666666666666682,-9.160192844290434e-05
lh_entorhinal,0.14666666666666667,0.014610486967189263,0.12533333333333332,0.014493886580001664,0.021333333333333343,0.00011660038718759938
rh_lingual,0.14666666666666667,0.014887182500738732,0.12533333333333332,0.014335437048777488,0.021333333333333343,0.0005517454519612438
lh_frontalpole,0.12666666666666668,0.013875653566945518,0.10666666666666667,0.014014003457909475,0.020000000000000004,-0.00013834989096395654
lh_isthmuscingulate,0.12,0.01386600509444125,0.10133333333333333,0.01384624590385553,0.018666666666666665,1.9759190585720218e-05
lh_inferiorparietal,0.11333333333333333,0.014141276785290957,0.096,0.013734719751032918,0.017333333333333326,0.0004065570342580392
rh_precuneus,0.13333333333333333,0.014187200863736964,0.12,0.014452867411915723,0.013333333333333336,-0.0002656665481787588
rh_insula,0.16,0.015364109425617185,0.14933333333333335,0.014493092511476858,0.010666666666666658,0.0008710169141403264
lh_parsorbitalis,0.13333333333333333,0.014024232694715503,0.12533333333333332,0.01399577891143563,0.008000000000000007,2.845378327987272e-05
lh_lingual,0.13333333333333333,0.014322404434956497,0.128,0.014416185727511181,0.005333333333333329,-9.378129255468472e-05
rh_postcentral,0.1,0.014111533324127156,0.096,0.013889429583906732,0.0040000000000000036,0.00022210374022042442
lh_paracentral,0.10666666666666667,0.014408464382575786,0.104,0.014076665850873448,0.0026666666666666783,0.0003317985317023379
rh_lateralorbitofrontal,0.20666666666666667,0.015319638770469688,0.20533333333333334,0.015543764378357033,0.0013333333333333253,-0.000224125607887345
rh_parahippocampal,0.13333333333333333,0.013287399987738,0.13333333333333333,0.014474723171765833,0.0,-0.0011873231840278317
rh_medialorbitofrontal,0.17333333333333334,0.015558375719867113,0.17333333333333334,0.01481110418801753,0.0,0.0007472715318495825
rh_temporalpole,0.12,0.014408576798659034,0.12533333333333332,0.014620723405250223,-0.005333333333333329,-0.0002121466065911886
lh_fusiform,0.38666666666666666,0.01985593252219824,0.392,0.018617872508652846,-0.005333333333333357,0.0012380600135453931
rh_superiortemporal,0.1,0.013677214743492521,0.10666666666666667,0.014063832398094746,-0.006666666666666668,-0.0003866176546022254
rh_parstriangularis,0.15333333333333332,0.014414863738685068,0.16,0.014689724984690712,-0.006666666666666682,-0.0002748612460056442
lh_medialorbitofrontal,0.20666666666666667,0.01611351517768286,0.216,0.015720363484573507,-0.009333333333333332,0.00039315169310935247
rh_caudalanteriorcingulate,0.13333333333333333,0.014009776311689119,0.144,0.014917946795693584,-0.010666666666666658,-0.0009081704840044648
lh_inferiortemporal,0.14,0.014416652534913513,0.15466666666666667,0.014389850013862216,-0.014666666666666661,2.6802521051296976e-05
lh_precuneus,0.09333333333333334,0.0145099333659042,0.112,0.014370930641027077,-0.018666666666666665,0.00013900272487712279
rh_isthmuscingulate,0.08666666666666667,0.013113417167640288,0.10666666666666667,0.014401420747114903,-0.020000000000000004,-0.0012880035794746152
rh_middletemporal,0.1,0.014569443756347642,0.12266666666666666,0.013987486877873224,-0.022666666666666654,0.000581956878474418
rh_caudalmiddlefrontal,0.11333333333333333,0.013824992524896568,0.136,0.014746339497423086,-0.022666666666666682,-0.0009213469725265176
lh_posteriorcingulate,0.08,0.013067588762188675,0.10933333333333334,0.014122546308274125,-0.029333333333333336,-0.00105495754608545
rh_inferiorparietal,0.11333333333333333,0.014999581213324002,0.144,0.014562160513761399,-0.03066666666666666,0.00043742069956260315
rh_bankssts,0.08666666666666667,0.013138354619502,0.11733333333333333,0.014237964891749345,-0.03066666666666666,-0.0010996102722473453
rh_parsorbitalis,0.09333333333333334,0.013233219922703163,0.12533333333333332,0.014216435686926517,-0.03199999999999999,-0.0009832157642233538
lh_superiorparietal,0.06666666666666667,0.013687854637061925,0.09866666666666667,0.013817826938416464,-0.032,-0.0001299723013545393
lh_parstriangularis,0.12,0.013699906235911519,0.152,0.014125082635242538,-0.032,-0.00042517639933101897
lh_supramarginal,0.06666666666666667,0.013682881494896678,0.104,0.014002365471018866,-0.03733333333333333,-0.00031948397612218717
lh_precentral,0.07333333333333333,0.013830543618282475,0.112,0.014567759007955173,-0.03866666666666667,-0.000737215389672698
lh_rostralanteriorcingulate,0.17333333333333334,0.014605217002958432,0.21333333333333335,0.016162603812867996,-0.04000000000000001,-0.001557386809909564
lh_caudalmiddlefrontal,0.10666666666666667,0.013514880474424113,0.14933333333333335,0.014872155800741043,-0.04266666666666667,-0.0013572753263169299
lh_superiorfrontal,0.06666666666666667,0.013212267229299598,0.11466666666666667,0.0138749429931284,-0.048,-0.000662675763828802
rh_cuneus,0.12666666666666668,0.014214703218239534,0.176,0.015167137299139613,-0.04933333333333331,-0.0009524340809000786
rh_rostralmiddlefrontal,0.08,0.013449704259493354,0.13066666666666665,0.014171220938189951,-0.05066666666666665,-0.0007215166786965974
lh_insula,0.09333333333333334,0.0136755872947942,0.144,0.01513569834024438,-0.05066666666666665,-0.0014601110454501801
lh_transversetemporal,0.28,0.018165617874841875,0.3333333333333333,0.01774274141592139,-0.05333333333333329,0.00042287645892048406
lh_parsopercularis,0.18,0.016265099589000697,0.23733333333333334,0.01673427580434784,-0.05733333333333335,-0.0004691762153471446
rh_frontalpole,0.10666666666666667,0.013952251012779625,0.16533333333333333,0.015184143799926086,-0.05866666666666666,-0.001231892787146461
rh_lateraloccipital,0.08,0.013666229564771027,0.14133333333333334,0.014669872362625149,-0.06133333333333334,-0.001003642797854122
rh_posteriorcingulate,0.1,0.01274893853195533,0.16533333333333333,0.015024390715637836,-0.06533333333333333,-0.0022754521836825057
lh_caudalanteriorcingulate,0.08666666666666667,0.013018417649546905,0.15466666666666667,0.015170210972674132,-0.068,-0.002151793323127227
rh_fusiform,0.34,0.019934263320133164,0.41333333333333333,0.01858772956212909,-0.0733333333333333,0.0013465337580040732
lh_parahippocampal,0.08666666666666667,0.013274814805204664,0.18133333333333335,0.01545052300956251,-0.09466666666666668,-0.002175708204357845
