roi,importance_internal,importance_external,group
lh_bankssts,0.014385405664013947,0.014758721626149614,CONTROL
lh_caudalanteriorcingulate,0.016620816058674034,0.014553836911409677,CONTROL
lh_caudalmiddlefrontal,0.014689663133728718,0.015019327914449834,CONTROL
lh_cuneus,0.01520854260931254,0.016623742136804877,CONTROL
lh_entorhinal,0.015187315552477987,0.011240056898291629,CONTROL
lh_frontalpole,0.014037242427222778,0.01675292225702324,CONTROL
lh_fusiform,0.018403728370855,0.016082281370301064,CONTROL
lh_inferiorparietal,0.013524682490477892,0.0135906212178371,CONTROL
lh_inferiortemporal,0.014526678262429158,0.01379708755655689,CONTROL
lh_insula,0.015289412454177885,0.013943900012459097,CONTROL
lh_isthmuscingulate,0.013269498458281957,0.012423668048349117,CONTROL
lh_lateraloccipital,0.014928378948010985,0.013028561468140229,CONTROL
lh_lateralorbitofrontal,0.015465937844218994,0.013513568696601329,CONTROL
lh_lingual,0.014804517301874594,0.012942146060391999,CONTROL
lh_medialorbitofrontal,0.015088875322146563,0.018480099095578035,CONTROL
lh_middletemporal,0.013224817688712046,0.010317793830803397,CONTROL
lh_paracentral,0.01364380242697157,0.012750182965811456,CONTROL
lh_parahippocampal,0.01609759660835437,0.015496382076852557,CONTROL
lh_parsopercularis,0.015676008302381382,0.012347749282355039,CONTROL
lh_parsorbitalis,0.013891398994373466,0.01764466338155139,CONTROL
lh_parstriangularis,0.01463810369361206,0.012698023144835886,CONTROL
lh_pericalcarine,0.014455849217405493,0.01536620722160516,CONTROL
lh_postcentral,0.013470974076857892,0.014745338825135844,CONTROL
lh_posteriorcingulate,0.014373365108689706,0.014671654523545914,CONTROL
lh_precentral,0.014282439553990526,0.013019823205927438,CONTROL
lh_precuneus,0.014845141310478791,0.015409698188880551,CONTROL
lh_rostralanteriorcingulate,0.015000479146616903,0.016304186638441017,CONTROL
lh_rostralmiddlefrontal,0.013503036441264455,0.013879937670253539,CONTROL
lh_superiorfrontal,0.01392406290930193,0.013242177884052795,CONTROL
lh_superiorparietal,0.014003916358906496,0.017344111479574934,CONTROL
lh_superiortemporal,0.013650315828743445,0.011484955054126444,CONTROL
lh_supramarginal,0.013150842386115642,0.012620439370639064,CONTROL
lh_temporalpole,0.015120842677354324,0.013067608462803953,CONTROL
lh_transversetemporal,0.017244455376707414,0.014552639759073107,CONTROL
rh_bankssts,0.014857003918505076,0.01368187280122517,CONTROL
rh_caudalanteriorcingulate,0.0159149572360446,0.01271095133210403,CONTROL
rh_caudalmiddlefrontal,0.014846620526070694,0.015716448688726778,CONTROL
rh_cuneus,0.015003651445273386,0.020029628285916822,CONTROL
rh_entorhinal,0.015329781132736555,0.015211128216397633,CONTROL
rh_frontalpole,0.015237957608779669,0.014845632853373243,CONTROL
rh_fusiform,0.01676974829284976,0.015975505637753625,CONTROL
rh_inferiorparietal,0.014353509514536442,0.014472640192392822,CONTROL
rh_inferiortemporal,0.015053302791445343,0.016040906597488126,CONTROL
rh_insula,0.014513060245149517,0.016224459500390916,CONTROL
rh_isthmuscingulate,0.014209283919753055,0.01442423346206522,CONTROL
rh_lateraloccipital,0.014627257302035668,0.01886864033257065,CONTROL
rh_lateralorbitofrontal,0.01455430727433058,0.012080326815027537,CONTROL
rh_lingual,0.01443986440791353,0.014443750121897574,CONTROL
rh_medialorbitofrontal,0.014306556421779961,0.015225273034732787,CONTROL
rh_middletemporal,0.013685240986541074,0.012834922004673389,CONTROL
rh_paracentral,0.014230909597428502,0.015547985796406028,CONTROL
rh_parahippocampal,0.0144682600413737,0.014303026345540973,CONTROL
rh_parsopercularis,0.014751856661222468,0.014079756000338282,CONTROL
rh_parsorbitalis,0.01441482485398051,0.012074886565098196,CONTROL
rh_parstriangularis,0.014797417167620699,0.01870650363643555,CONTROL
rh_pericalcarine,0.014825255568724677,0.019722173521674782,CONTROL
rh_postcentral,0.01435858289932875,0.014761702392810857,CONTROL
rh_posteriorcingulate,0.014814819950785743,0.013539500251199687,CONTROL
rh_precentral,0.01449210201306753,0.013030342090462341,CONTROL
rh_precuneus,0.014535026346210742,0.013368420758936723,CONTROL
rh_rostralanteriorcingulate,0.015124880522512313,0.015981037743046166,CONTROL
rh_rostralmiddlefrontal,0.014060090245489194,0.015174480895717199,CONTROL
rh_superiorfrontal,0.01376421129043001,0.012184045066399873,CONTROL
rh_superiorparietal,0.013977934324929078,0.0167827579688611,CONTROL
rh_superiortemporal,0.013937810249328443,0.011780860509399723,CONTROL
rh_supramarginal,0.014446243534406164,0.017915924509329443,CONTROL
rh_temporalpole,0.014467458225206724,0.014786764413709644,CONTROL
rh_transversetemporal,0.017202070479468944,0.019759397421283943,CONTROL
lh_bankssts,0.016005230723684125,0.015471566006236651,SZ
lh_caudalanteriorcingulate,0.012127831151130237,0.014641322343556177,SZ
lh_caudalmiddlefrontal,0.013524250719461667,0.012839690519403183,SZ
lh_cuneus,0.016801832604119236,0.01530101936748708,SZ
lh_entorhinal,0.01579542135890315,0.01334504073831523,SZ
lh_frontalpole,0.013668469993526767,0.014577775689026578,SZ
lh_fusiform,0.018534890478646107,0.016492535946668347,SZ
lh_inferiorparietal,0.015101243857712878,0.013853510883757313,SZ
lh_inferiortemporal,0.014858845905600191,0.012819459500222573,SZ
lh_insula,0.013860014266843435,0.012763757744399005,SZ
lh_isthmuscingulate,0.014855561401009229,0.01242605793749875,SZ
lh_lateraloccipital,0.014105273828230746,0.01713773035239791,SZ
lh_lateralorbitofrontal,0.015670108143656623,0.015262284436277385,SZ
lh_lingual,0.014247008410247395,0.01571718548385663,SZ
lh_medialorbitofrontal,0.01593329127485442,0.015719082679696895,SZ
lh_middletemporal,0.016517908868501244,0.012091453176900017,SZ
lh_paracentral,0.014461606970401653,0.013470485262583575,SZ
lh_parahippocampal,0.014191974672513662,0.012478205116811785,SZ
lh_parsopercularis,0.016100398848205168,0.014996996722845744,SZ
lh_parsorbitalis,0.014444911406089158,0.01463913581245221,SZ
lh_parstriangularis,0.01389144049294692,0.017618284738011917,SZ
lh_pericalcarine,0.016661929272501975,0.014012975612297196,SZ
lh_postcentral,0.013353157340739908,0.012574828132079892,SZ
lh_posteriorcingulate,0.012723628451310203,0.014688010450571056,SZ
lh_precentral,0.014223444270370929,0.012084933725859788,SZ
lh_precuneus,0.0146330967422479,0.01557554276011986,SZ
lh_rostralanteriorcingulate,0.014155552634680501,0.013996729317610332,SZ
lh_rostralmiddlefrontal,0.015512547576038295,0.016951599253047494,SZ
lh_superiorfrontal,0.013165254316765289,0.013661904542401201,SZ
lh_superiorparietal,0.013876361687864627,0.014700496320042136,SZ
lh_superiortemporal,0.014170338607318297,0.013170531365808386,SZ
lh_supramarginal,0.013883820474446598,0.015127548996109052,SZ
lh_temporalpole,0.014422804568606382,0.012979270482736022,SZ
lh_transversetemporal,0.017172393514319553,0.016208741647148514,SZ
rh_bankssts,0.013403423988299763,0.01409633174815598,SZ
rh_caudalanteriorcingulate,0.013865956012417984,0.014864702471853864,SZ
rh_caudalmiddlefrontal,0.014010833402318141,0.012254168136888144,SZ
rh_cuneus,0.013584471462980812,0.014603308090518926,SZ
rh_entorhinal,0.014496579963123389,0.01685251994605132,SZ
rh_frontalpole,0.013873364585254289,0.014678073628539918,SZ
rh_fusiform,0.019960038771275147,0.01715800863013601,SZ
rh_inferiorparietal,0.015096145065299443,0.016713332627786622,SZ
rh_inferiortemporal,0.013998201503601967,0.019490808461618235,SZ
rh_insula,0.015998361728380296,0.013657797306752633,SZ
rh_isthmuscingulate,0.013028332170024295,0.012343277059754207,SZ
rh_lateraloccipital,0.014004731673240844,0.01466814578877351,SZ
rh_lateralorbitofrontal,0.014339493956584813,0.0147043233205168,SZ
rh_lingual,0.014584864521880856,0.014264974318035166,SZ
rh_medialorbitofrontal,0.015187487368548072,0.01725416658498437,SZ
rh_middletemporal,0.014611167919566953,0.013442944970326949,SZ
rh_paracentral,0.013723606654663824,0.015172076878947331,SZ
rh_parahippocampal,0.013955771892904107,0.013679829862908728,SZ
rh_parsopercularis,0.015693444877256234,0.012729448269151887,SZ
rh_parsorbitalis,0.013723210407522082,0.012416513140241064,SZ
rh_parstriangularis,0.016221363940614374,0.015103606729662877,SZ
rh_pericalcarine,0.014717604326966947,0.015139465811459493,SZ
rh_postcentral,0.013499878828939599,0.0149903975962229,SZ
rh_posteriorcingulate,0.012649743194585908,0.013913972023635656,SZ
rh_precentral,0.014200102732703597,0.01175281476787852,SZ
rh_precuneus,0.014101898341414,0.018276949014571338,SZ
rh_rostralanteriorcingulate,0.014659191844990593,0.016022727896947603,SZ
rh_rostralmiddlefrontal,0.013584658347838697,0.015487431240489185,SZ
rh_superiorfrontal,0.014485443470436564,0.01372487841924468,SZ
rh_superiorparietal,0.015356085776320331,0.01506731901181741,SZ
rh_superiortemporal,0.014274934018075025,0.01576434873150789,SZ
