group,k,n,top_drop,random_drop,advantage,ci_lower,ci_upper,positive_fraction,top_flip_rate,random_flip_rate
ALL,1,71,0.09609111793286784,0.00418298889974683,0.09190812903312101,0.05683968351796781,0.13139800721868333,0.7605633802816901,0.14084507042253522,0.008028169014084508
SZ,1,46,0.10419728525954744,0.004705787057299977,0.09949149820224747,0.04915632589147223,0.15795451025990762,0.717391304347826,0.15217391304347827,0.007826086956521738
TP_SZ,1,36,0.05094289117389255,0.005736646263135805,0.045206244910756754,0.017383060625961257,0.0816606704448867,0.6944444444444444,0.05555555555555555,0.008611111111111111
ALL,5,71,0.29215511484202783,0.023479090360481892,0.268676024481546,0.21383940384057096,0.3244075194060554,0.9436619718309859,0.4084507042253521,0.0395774647887324
SZ,5,46,0.2726380200651677,0.02345130369229161,0.24918671637287607,0.17603567238170248,0.3241380910558788,0.9347826086956522,0.391304347826087,0.034782608695652174
TP_SZ,5,36,0.2308046801222695,0.026168597456999128,0.2046360826652704,0.1317716893103724,0.2841805673378468,0.9444444444444444,0.3055555555555556,0.03138888888888889
ALL,10,71,0.3937356298417181,0.045147912751466804,0.34858771709025127,0.2839269510464002,0.414956808959575,0.9154929577464789,0.4788732394366197,0.06985915492957748
SZ,10,46,0.3570010239655739,0.044073175128913775,0.3129278488366602,0.23028560663437542,0.40018967161871083,0.9130434782608695,0.41304347826086957,0.06065217391304348
TP_SZ,10,36,0.37623909895935664,0.04888389267674131,0.32735520628261544,0.23499160572576022,0.42371139603352637,1.0,0.3888888888888889,0.05416666666666667
ALL,15,71,0.4234447725081134,0.06573363737993491,0.3577111351281784,0.2864285042225075,0.42721075230356936,0.8732394366197183,0.49295774647887325,0.10239436619718309
SZ,15,46,0.3702114637278061,0.06223619296352136,0.3079752707642847,0.22584640926040794,0.38902439186154886,0.8913043478260869,0.391304347826087,0.08782608695652173
TP_SZ,15,36,0.43652878101824577,0.07168787298077302,0.3648409080374727,0.2803998656237543,0.4533702670364808,1.0,0.4166666666666667,0.08416666666666667
ALL,20,71,0.4494123014057396,0.08946885956735777,0.3599434418383819,0.2897976349509841,0.43224744990474434,0.8169014084507042,0.5352112676056338,0.13492957746478873
SZ,20,46,0.4144712153761445,0.08575234510293027,0.3287188702732142,0.24089377701019937,0.4171442945283602,0.8260869565217391,0.45652173913043476,0.12065217391304346
TP_SZ,20,36,0.537429632502608,0.09800755251250745,0.4394220799901005,0.35956722854639195,0.5224148507328936,1.0,0.5833333333333334,0.11416666666666665
