split,repeat,fold,density,hidden,roc_auc
0,0,0,0.1,32,0.74
0,0,0,0.1,64,0.708
0,0,0,0.2,32,0.784
0,0,0,0.2,64,0.696
0,0,0,0.3,32,0.7480000000000001
0,0,0,0.3,64,0.7400000000000001
1,0,1,0.1,32,0.64
1,0,1,0.1,64,0.632
1,0,1,0.2,32,0.708
1,0,1,0.2,64,0.736
1,0,1,0.3,32,0.716
1,0,1,0.3,64,0.72
2,0,2,0.1,32,0.524
2,0,2,0.1,64,0.508
2,0,2,0.2,32,0.6
2,0,2,0.2,64,0.464
2,0,2,0.3,32,0.5640000000000001
2,0,2,0.3,64,0.508
3,0,3,0.1,32,0.7000000000000001
3,0,3,0.1,64,0.756
3,0,3,0.2,32,0.728
3,0,3,0.2,64,0.748
3,0,3,0.3,32,0.736
3,0,3,0.3,64,0.748
4,0,4,0.1,32,0.5760000000000001
4,0,4,0.1,64,0.544
4,0,4,0.2,32,0.532
4,0,4,0.2,64,0.43999999999999995
4,0,4,0.3,32,0.528
4,0,4,0.3,64,0.45199999999999996
5,1,0,0.1,32,0.704
5,1,0,0.1,64,0.772
5,1,0,0.2,32,0.72
5,1,0,0.2,64,0.728
5,1,0,0.3,32,0.708
5,1,0,0.3,64,0.732
6,1,1,0.1,32,0.736
6,1,1,0.1,64,0.716
6,1,1,0.2,32,0.748
6,1,1,0.2,64,0.768
6,1,1,0.3,32,0.7160000000000001
6,1,1,0.3,64,0.748
7,1,2,0.1,32,0.68
7,1,2,0.1,64,0.6799999999999999
7,1,2,0.2,32,0.6839999999999999
7,1,2,0.2,64,0.636
7,1,2,0.3,32,0.76
7,1,2,0.3,64,0.7080000000000001
8,1,3,0.1,32,0.6880000000000001
8,1,3,0.1,64,0.756
8,1,3,0.2,32,0.672
8,1,3,0.2,64,0.7080000000000001
8,1,3,0.3,32,0.692
8,1,3,0.3,64,0.732
9,1,4,0.1,32,0.648
9,1,4,0.1,64,0.648
9,1,4,0.2,32,0.672
9,1,4,0.2,64,0.608
9,1,4,0.3,32,0.6960000000000001
9,1,4,0.3,64,0.572
10,2,0,0.1,32,0.7
10,2,0,0.1,64,0.64
10,2,0,0.2,32,0.748
10,2,0,0.2,64,0.664
10,2,0,0.3,32,0.772
10,2,0,0.3,64,0.688
11,2,1,0.1,32,0.592
11,2,1,0.1,64,0.636
11,2,1,0.2,32,0.572
11,2,1,0.2,64,0.572
11,2,1,0.3,32,0.656
11,2,1,0.3,64,0.572
12,2,2,0.1,32,0.728
12,2,2,0.1,64,0.7679999999999999
12,2,2,0.2,32,0.708
12,2,2,0.2,64,0.724
12,2,2,0.3,32,0.688
12,2,2,0.3,64,0.708
13,2,3,0.1,32,0.704
13,2,3,0.1,64,0.752
13,2,3,0.2,32,0.652
13,2,3,0.2,64,0.616
13,2,3,0.3,32,0.644
13,2,3,0.3,64,0.6600000000000001
14,2,4,0.1,32,0.5760000000000001
14,2,4,0.1,64,0.58
14,2,4,0.2,32,0.5800000000000001
14,2,4,0.2,64,0.668
14,2,4,0.3,32,0.592
14,2,4,0.3,64,0.7120000000000001
