split,repeat,fold,density,hidden,roc_auc
0,0,0,0.1,32,0.6799999999999999
0,0,0,0.1,64,0.764
0,0,0,0.2,32,0.772
0,0,0,0.2,64,0.668
0,0,0,0.3,32,0.712
0,0,0,0.3,64,0.704
1,0,1,0.1,32,0.756
1,0,1,0.1,64,0.724
1,0,1,0.2,32,0.788
1,0,1,0.2,64,0.764
1,0,1,0.3,32,0.74
1,0,1,0.3,64,0.752
2,0,2,0.1,32,0.58
2,0,2,0.1,64,0.548
2,0,2,0.2,32,0.5800000000000001
2,0,2,0.2,64,0.5239999999999999
2,0,2,0.3,32,0.544
2,0,2,0.3,64,0.448
3,0,3,0.1,32,0.7160000000000001
3,0,3,0.1,64,0.748
3,0,3,0.2,32,0.764
3,0,3,0.2,64,0.772
3,0,3,0.3,32,0.812
3,0,3,0.3,64,0.78
4,0,4,0.1,32,0.592
4,0,4,0.1,64,0.5479999999999999
4,0,4,0.2,32,0.6320000000000001
4,0,4,0.2,64,0.5840000000000001
4,0,4,0.3,32,0.5720000000000001
4,0,4,0.3,64,0.536
5,1,0,0.1,32,0.712
5,1,0,0.1,64,0.8
5,1,0,0.2,32,0.752
5,1,0,0.2,64,0.772
5,1,0,0.3,32,0.752
5,1,0,0.3,64,0.768
6,1,1,0.1,32,0.672
6,1,1,0.1,64,0.684
6,1,1,0.2,32,0.716
6,1,1,0.2,64,0.716
6,1,1,0.3,32,0.6479999999999999
6,1,1,0.3,64,0.756
7,1,2,0.1,32,0.6839999999999999
7,1,2,0.1,64,0.604
7,1,2,0.2,32,0.712
7,1,2,0.2,64,0.76
7,1,2,0.3,32,0.7159999999999999
7,1,2,0.3,64,0.784
8,1,3,0.1,32,0.732
8,1,3,0.1,64,0.776
8,1,3,0.2,32,0.704
8,1,3,0.2,64,0.7240000000000001
8,1,3,0.3,32,0.716
8,1,3,0.3,64,0.716
9,1,4,0.1,32,0.652
9,1,4,0.1,64,0.624
9,1,4,0.2,32,0.6519999999999999
9,1,4,0.2,64,0.708
9,1,4,0.3,32,0.688
9,1,4,0.3,64,0.636
10,2,0,0.1,32,0.792
10,2,0,0.1,64,0.784
10,2,0,0.2,32,0.756
10,2,0,0.2,64,0.7480000000000001
10,2,0,0.3,32,0.78
10,2,0,0.3,64,0.7560000000000002
11,2,1,0.1,32,0.628
11,2,1,0.1,64,0.652
11,2,1,0.2,32,0.676
11,2,1,0.2,64,0.7
11,2,1,0.3,32,0.6759999999999999
11,2,1,0.3,64,0.624
12,2,2,0.1,32,0.784
12,2,2,0.1,64,0.7320000000000001
12,2,2,0.2,32,0.664
12,2,2,0.2,64,0.748
12,2,2,0.3,32,0.66
12,2,2,0.3,64,0.7160000000000001
13,2,3,0.1,32,0.632
13,2,3,0.1,64,0.632
13,2,3,0.2,32,0.58
13,2,3,0.2,64,0.624
13,2,3,0.3,32,0.6
13,2,3,0.3,64,0.6399999999999999
14,2,4,0.1,32,0.6799999999999999
14,2,4,0.1,64,0.728
14,2,4,0.2,32,0.652
14,2,4,0.2,64,0.6880000000000001
14,2,4,0.3,32,0.664
14,2,4,0.3,64,0.7480000000000001
