param_n_estimators,param_max_depth,param_max_features,mean_test_score,std_test_score,rank_test_score
600,10,sqrt,0.7129333333333333,0.08381524655786413,1
600,,sqrt,0.7128,0.08418962723122923,2
600,5,sqrt,0.7125333333333334,0.08960793615647122,3
600,,0.5,0.7094666666666668,0.09722404823682028,4
600,10,0.5,0.7094666666666668,0.09722404823682028,4
300,,0.5,0.7088,0.09640691538128028,6
300,10,0.5,0.7088,0.09640691538128028,6
300,,sqrt,0.7087999999999999,0.08951066975506328,8
300,5,0.5,0.7087999999999999,0.09603554897363092,8
300,10,sqrt,0.7081333333333333,0.08813767008997282,10
600,5,0.5,0.7050666666666667,0.09777761616148259,11
300,5,sqrt,0.7005333333333333,0.09961918601465396,12
