group,k,n,top_drop,random_drop,advantage,ci_lower,ci_upper,positive_fraction,top_flip_rate,random_flip_rate
ALL,1,71,0.0960911179328678,0.0041829888997468,0.091908129033121,0.0568396835179678,0.1313980072186833,0.7605633802816901,0.1408450704225352,0.0080281690140845
SZ,1,46,0.1041972852595474,0.0047057870572999,0.0994914982022474,0.0491563258914722,0.1579545102599076,0.717391304347826,0.1521739130434782,0.0078260869565217
TP_SZ,1,36,0.0509428911738925,0.0057366462631358,0.0452062449107567,0.0173830606259612,0.0816606704448867,0.6944444444444444,0.0555555555555555,0.0086111111111111
ALL,5,71,0.2921551148420278,0.0234790903604818,0.268676024481546,0.2138394038405709,0.3244075194060554,0.943661971830986,0.4084507042253521,0.0395774647887324
SZ,5,46,0.2726380200651677,0.0234513036922916,0.249186716372876,0.1760356723817024,0.3241380910558788,0.9347826086956522,0.391304347826087,0.0347826086956521
TP_SZ,5,36,0.2308046801222695,0.0261685974569991,0.2046360826652704,0.1317716893103724,0.2841805673378468,0.9444444444444444,0.3055555555555556,0.0313888888888888
ALL,10,71,0.3937356298417181,0.0451479127514668,0.3485877170902512,0.2839269510464002,0.414956808959575,0.9154929577464788,0.4788732394366197,0.0698591549295774
SZ,10,46,0.3570010239655739,0.0440731751289137,0.3129278488366602,0.2302856066343754,0.4001896716187108,0.9130434782608696,0.4130434782608695,0.0606521739130434
TP_SZ,10,36,0.3762390989593566,0.0488838926767413,0.3273552062826154,0.2349916057257602,0.4237113960335263,1.0,0.3888888888888889,0.0541666666666666
ALL,15,71,0.4234447725081134,0.0657336373799349,0.3577111351281784,0.2864285042225075,0.4272107523035693,0.8732394366197183,0.4929577464788732,0.102394366197183
SZ,15,46,0.3702114637278061,0.0622361929635213,0.3079752707642847,0.2258464092604079,0.3890243918615488,0.8913043478260869,0.391304347826087,0.0878260869565217
TP_SZ,15,36,0.4365287810182457,0.071687872980773,0.3648409080374727,0.2803998656237543,0.4533702670364808,1.0,0.4166666666666667,0.0841666666666666
ALL,20,71,0.4494123014057396,0.0894688595673577,0.3599434418383819,0.2897976349509841,0.4322474499047443,0.8169014084507042,0.5352112676056338,0.1349295774647887
SZ,20,46,0.4144712153761445,0.0857523451029302,0.3287188702732142,0.2408937770101993,0.4171442945283602,0.8260869565217391,0.4565217391304347,0.1206521739130434
TP_SZ,20,36,0.537429632502608,0.0980075525125074,0.4394220799901005,0.3595672285463919,0.5224148507328936,1.0,0.5833333333333334,0.1141666666666666
