Group,Feature,Internal importance,External importance,Feature Spearman
CONTROL,CT,0.19856845025063072,0.2184109653200666,0.6
CONTROL,MC,0.2289190121011368,0.2052929230351379,0.6
CONTROL,SD,0.19564257173730187,0.20615107813682282,0.6
CONTROL,SA,0.18952140099373196,0.18143027377871995,0.6
CONTROL,Vol,0.1873485649171987,0.18871475972925275,0.6
SZ,CT,0.21261199017538288,0.2262487867498368,0.7999999999999999
SZ,MC,0.23131564314533143,0.20151055468956516,0.7999999999999999
SZ,SD,0.19479998125965395,0.1998877136534099,0.7999999999999999
SZ,SA,0.18176765721838337,0.17891173775258828,0.7999999999999999
SZ,Vol,0.17950472820124844,0.1934412071545999,0.7999999999999999
